Turtle Name , 2020 , 2021 , 2022
Jett , 25 , 12 , 19
Jetta , 29 , 26 , 18
Jewel , -1 , 18 , 25
Jewels , 25 , -1 , 10
Jimmy , 32 , 13 , 27
Jingles , 19 , 37 , 35
JJ , -1 , 29 , 29
Joe , 24 , 35 , -1
Joey , 38 , 27 , 10
Johnny , 23 , 19 , 31
Jojo , 37 , -1 , 23
Joker , 14 , 33 , -1
Jolie , -1 , 24 , 33
Jolly , -1 , 13 , 39
Jordan , 25 , 15 , 26
Josie , 30 , 34 , 36
Joy , 39 , 21 , 19
JR , 11 , 28 , 15
Judy , 30 , -1 , 31
Julius , 24 , -1 , 29
June , 11 , 11 , -1
Misty , 17 , -1 , 15
Mitch , 13 , -1 , 31
Mittens , -1 , 32 , 30
Mitzi , 15 , 22 , 14
Mitzy , 18 , -1 , 20
Mo , 22 , 16 , 39
Mocha , 21 , 26 , 22
Mollie , 39 , 17 , 37
Molly , 34 , 27 , -1
Mona , 10 , 27 , 36
Muffy , 10 , 37 , 28
Nakita , 14 , 19 , -1
Nala , 34 , 22 , 35
Nana , -1 , 12 , 24
Natasha , 21 , 30 , 26
Nellie , -1 , 36 , 11
Nemo , 35 , 19 , 34
Nena , 19 , 12 , 27
Peanut , 33 , 39 , 18
Peanuts , 13 , 21 , 36
Pearl , -1 , 14 , 29
Pebbles , 32 , 11 , 24
Penny , -1 , 17 , 35
Phoebe , 27 , -1 , 24
Phoenix , 19 , 28 , 39
Sara , 17 , 26 , 38
Sarah , 15 , -1 , 31
Sasha , 18 , 14 , 30
Sassie , 20 , -1 , 39
Sassy , 13 , 38 , 27
Savannah , 35 , 18 , 37
Scarlett , 22 , 39 , 14
Shasta , -1 , 29 , 25
Sheba , 18 , 24 , 37
Sheena , 18 , 25 , 10
Shelby , 15 , 27 , 26
Shelly , 10 , 32 , 35
Sienna , 12 , -1 , 17
Sierra , 26 , 18 , 31
Silky , 35 , 28 , 16
Silver , 24 , 15 , 11
Simone , 17 , 18 , 16
Sissy , 20 , 24 , -1
Skeeter , 24 , 23 , 23
Sky , 34 , 24 , 21
Skye , 38 , 29 , 15
Skyler , -1 , 30 , 11
Waldo , 30 , 15 , 21
Wallace , 10 , 14 , 12
Wally , 34 , 26 , -1
Walter , 22 , 10 , -1
Wayne , -1 , 35 , 39
Weaver , 10 , 19 , 15
Webster , 21 , -1 , 30
Wesley , -1 , 29 , 32
Westie , 38 , 34 , -1
